ID,X_Ori,Y_Ori,X_Des,Y_Des,Weight
391,3774175,2900402,3728390,2959146,1
392,3794576,2951090,3810491,2957720,1
393,3703121,2843109,3780036,2804343,1
394,3808399,2913993,3769298,2903143,1
395,3790584,2907868,3755978,2850428,1
396,3762830,2792281,3822443,2908976,1
397,3811875,2944797,3815217,2902273,1
398,3676654,2897385,3772281,2860574,1
399,3718074,2831409,3690242,2933027,1
400,3796059,2938357,3689692,2828862,1
401,3756035,2869885,3803277,2870680,1
402,3791531,2802715,3697607,2965349,1
403,3811439,2895727,3775913,2798165,1
404,3750888,2978543,3710345,2903219,1
405,3745211,2896463,3713590,2909228,1
406,3669342,2899432,3846787,2885675,1
407,3687069,2921346,3780031,2956519,1
408,3737606,2983368,3770529,2973116,1
409,3747743,2829407,3701252,2932895,1
410,3852041,2886070,3853055,2925753,1
411,3740585,2829029,3690840,2851294,1
412,3821757,2832728,3830419,2819634,1
413,3787507,2934562,3829527,2919875,1
414,3737199,2828307,3799346,2932865,1
415,3855547,2881531,3761122,2834601,1
416,3760576,2889436,3739518,2863232,1
417,3803538,2886691,3740168,2868770,1
418,3777314,2866468,3799996,2799951,1
419,3746770,2959142,3822373,2886542,1
420,3814512,2814200,3835735,2839697,1
421,3797121,2945660,3852558,2898999,1
422,3750638,2907046,3730119,2809639,1
423,3758574,2818755,3697022,2855882,1
424,3804147,2915640,3818083,2921451,1
425,3798091,2835727,3706388,2898999,1
426,3750087,2942081,3764571,2880414,1
427,3772224,2816310,3702759,2933395,1
428,3825740,2934551,3779182,2813181,1
429,3731851,2891904,3832849,2845411,1
430,3756250,2842639,3821588,2857119,1
431,3679035,2945316,3777984,2807056,1
432,3841823,2919169,3743147,2942099,1
433,3838212,2829928,3784822,2928145,1
434,3715195,2929073,3777420,2943904,1
435,3800287,2977160,3754278,2927477,1
436,3795319,2799382,3753758,2954657,1
437,3695382,2926943,3762520,2984395,1
438,3825554,2880892,3738528,2855229,1
439,3799707,2887661,3733591,2979992,1
440,3728342,2822564,3731087,2960757,1
441,3728460,2862995,3842627,2932187,1
442,3809250,2867100,3782838,2795208,1
443,3777799,2872896,3810042,2932906,1
444,3843857,2922049,3749345,2924844,1
445,3805822,2951893,3686369,2927820,1
446,3814052,2944980,3680898,2917053,1
447,3725335,2980783,3745355,2879842,1
448,3792156,2923568,3771959,2933222,1
449,3671683,2926110,3719812,2866934,1
450,3681684,2928013,3812779,2949302,1
451,3757463,2899039,3692333,2864789,1
452,3768244,2816619,3703100,2867114,1
453,3717726,2849432,3701576,2878326,1
454,3817129,2886847,3713388,2872836,1
455,3708468,2969225,3705990,2946717,1
456,3757595,2803370,3782245,2968555,1
457,3722834,2830200,3710016,2868916,1
458,3850770,2882276,3790513,2930193,1
459,3726983,2901148,3749429,2917455,1
460,3738008,2797691,3783944,2945464,1
461,3796721,2842030,3717856,2861561,1
462,3827999,2896899,3763076,2942558,1
463,3819293,2855927,3763339,2918381,1
464,3765915,2845185,3799908,2968645,1
465,3853097,2868453,3785830,2935383,1
466,3796423,2938704,3708560,2846483,1
467,3835348,2891316,3776726,2872323,1
468,3720851,2870479,3855603,2874071,1
469,3770989,2855854,3825106,2865447,1
470,3746602,2938299,3779968,2921257,1
471,3771992,2985930,3816959,2926490,1
472,3781578,2812968,3678041,2893066,1
473,3717501,2928093,3689221,2891298,1
474,3824722,2847058,3814282,2853113,1
475,3759715,2813639,3663796,2896167,1
476,3680380,2891208,3833434,2851658,1
477,3793846,2809581,3759765,2810853,1
478,3818209,2839835,3771619,2862628,1
479,3746093,2888929,3663470,2881011,1
480,3789721,2980271,3780424,2867394,1
481,3803746,2901397,3777641,2838911,1
482,3690121,2870941,3711951,2934137,1
483,3700150,2952542,3720449,2827041,1
484,3753933,2797522,3684202,2901777,1
485,3805233,2817133,3793459,2960774,1
486,3854663,2888445,3740096,2869260,1
487,3786821,2985616,3721644,2968271,1
488,3790172,2894203,3753806,2901244,1
489,3743841,2890329,3695723,2853500,1
490,3791520,2808586,3815429,2872002,1
491,3724829,2867987,3790269,2916351,1
492,3692139,2930429,3802448,2830633,1
493,3769896,2881256,3777096,2962466,1
494,3838273,2931396,3728296,2884176,1
495,3718641,2849561,3742084,2870268,1
496,3801778,2887070,3773695,2867822,1
497,3777222,2948351,3707354,2848031,1
498,3762912,2910061,3786554,2957256,1
499,3753160,2801199,3708260,2953518,1
500,3724610,2978853,3831895,2897436,1
501,3812847,2839153,3796322,2857427,1
502,3749025,2939109,3795543,2806636,1
503,3747540,2900158,3706399,2931084,1
504,3771000,2798766,3808997,2975010,1
505,3712908,2844395,3752696,2940924,1
506,3857617,2869653,3770843,2944268,1
507,3832258,2835153,3791607,2906645,1
508,3825101,2836749,3681650,2921625,1
509,3673210,2892956,3673802,2928490,1
510,3767987,2881977,3814266,2900064,1
511,3763112,2971527,3812263,2936615,1
512,3818275,2810200,3820900,2964288,1
513,3663372,2874060,3686898,2903202,1
514,3715873,2910711,3807318,2954355,1
515,3836417,2930465,3694524,2896656,1
516,3689922,2908172,3689198,2912524,1
517,3817850,2826050,3708517,2832991,1
518,3709838,2859954,3714015,2896296,1
519,3823589,2836081,3722282,2875251,1
520,3729913,2959418,3772682,2927605,1
521,3665642,2888030,3766340,2878841,1
522,3850501,2889115,3672441,2884746,1
523,3857128,2874323,3836668,2833119,1
524,3826039,2879580,3721905,2850948,1
525,3841108,2936521,3819251,2830689,1
526,3705235,2851885,3803679,2853264,1
527,3735260,2855699,3752480,2911617,1
528,3688648,2898387,3683578,2931086,1
529,3815138,2813843,3779521,2939069,1
530,3692182,2885388,3815000,2939887,1
531,3828663,2834956,3814149,2848879,1
532,3797201,2823840,3753746,2794406,1
533,3772683,2809873,3731715,2856946,1
534,3830390,2953526,3768998,2815252,1
535,3679229,2880886,3778620,2843267,1
536,3669568,2893635,3816705,2931825,1
537,3755169,2843958,3778021,2893858,1
538,3714568,2826175,3706409,2903651,1
539,3683907,2829319,3713145,2817718,1
540,3713268,2850109,3799214,2822876,1
541,3815128,2938107,3791887,2816482,1
542,3835344,2948378,3764470,2934406,1
543,3712763,2892215,3780042,2882547,1
544,3756063,2802495,3767106,2934297,1
545,3792785,2817264,3734458,2815109,1
546,3804785,2897892,3680815,2905162,1
547,3814071,2906593,3797055,2811935,1
548,3789102,2943356,3839635,2947612,1
549,3845735,2841683,3825669,2961298,1
550,3696974,2933000,3765187,2907362,1
551,3812912,2873146,3840743,2847461,1
552,3748145,2983270,3798517,2797895,1
553,3781339,2969385,3679250,2848469,1
554,3753519,2791983,3818504,2865478,1
555,3811787,2833129,3845675,2849230,1
556,3795814,2902059,3742573,2980232,1
557,3721639,2934568,3773893,2982380,1
558,3734146,2894710,3700558,2933855,1
559,3673836,2899898,3787707,2961646,1
560,3702164,2824491,3818258,2896592,1
561,3840546,2906429,3684129,2831429,1
562,3800200,2913329,3770070,2843204,1
563,3813775,2806422,3768186,2953595,1
564,3714710,2957622,3674364,2899243,1
565,3849815,2899946,3697023,2847645,1
566,3816959,2912629,3789422,2982809,1
567,3787310,2969153,3747664,2954082,1
568,3783814,2951782,3746635,2923727,1
569,3800195,2838467,3752885,2867849,1
570,3801182,2904238,3839307,2902549,1
571,3706199,2923007,3675035,2859667,1
572,3822227,2888500,3823915,2880074,1
573,3742633,2939911,3793311,2929586,1
574,3820005,2917696,3773872,2857198,1
575,3775424,2802339,3764695,2938914,1
576,3808725,2945282,3825091,2878123,1
577,3768257,2986576,3768145,2866817,1
578,3736118,2821327,3720219,2825031,1
579,3817440,2869777,3765280,2859923,1
580,3661501,2900955,3778553,2817484,1
581,3822574,2899595,3690863,2871860,1
582,3792956,2976206,3730765,2917238,1
583,3818194,2832002,3804313,2896443,1
584,3756995,2961475,3692496,2902105,1
585,3722042,2808841,3723930,2848054,1
586,3723924,2806864,3831693,2949834,1
587,3665967,2867213,3767869,2868154,1
588,3683564,2923728,3848543,2844995,1
589,3834351,2831074,3828336,2950647,1
590,3723372,2936515,3781089,2802026,1
591,3683077,2892563,3741780,2902487,1
592,3701119,2811301,3785658,2798718,1
593,3719623,2964392,3732124,2972797,1
594,3724342,2946165,3801807,2902561,1
595,3735619,2914682,3696789,2954285,1
596,3807983,2970860,3828105,2926347,1
597,3704210,2924330,3680821,2923045,1
598,3746459,2854372,3858644,2902644,1
599,3715669,2846635,3856944,2885215,1
600,3807306,2827369,3789168,2881862,1
601,3735594,2935908,3677453,2914047,1
602,3852107,2925982,3662637,2908059,1
603,3744769,2848377,3698400,2849924,1
604,3757522,2810869,3734501,2808964,1
605,3754169,2874627,3732896,2951561,1
606,3732853,2810832,3786780,2810106,1
607,3706802,2849134,3707785,2954969,1
608,3829984,2866191,3820243,2960922,1
609,3675084,2865704,3715271,2951861,1
610,3850137,2848144,3774793,2825686,1
611,3835314,2845737,3676212,2937136,1
612,3690602,2881395,3814646,2942137,1
613,3681316,2922446,3812625,2832642,1
614,3752134,2848846,3702632,2947652,1
615,3768254,2962051,3785834,2860338,1
616,3825155,2890691,3796029,2921184,1
617,3771752,2977375,3820958,2865973,1
618,3779799,2927101,3802083,2832973,1
619,3785816,2834776,3721383,2840570,1
620,3769814,2889677,3711895,2832173,1
621,3668562,2885445,3799365,2907263,1
622,3784854,2892561,3688223,2930484,1
623,3667067,2919431,3849369,2922063,1
624,3770292,2942415,3852873,2900933,1
625,3796071,2948534,3691002,2822411,1
626,3707127,2805992,3790591,2800375,1
627,3747863,2799354,3695157,2841128,1
628,3721814,2861127,3699974,2893843,1
629,3725913,2855848,3826754,2877164,1
630,3767776,2886944,3702424,2898289,1
631,3802453,2830742,3790172,2915487,1
632,3730503,2982298,3718927,2915659,1
633,3764997,2824908,3795430,2865091,1
634,3833763,2931551,3756378,2920775,1
635,3693051,2892163,3804544,2835044,1
636,3717193,2876077,3768980,2888683,1
637,3757396,2982851,3764894,2963675,1
638,3824334,2947787,3826421,2898188,1
639,3744505,2961920,3785367,2794768,1
640,3770790,2936647,3793321,2919040,1
641,3809316,2889251,3673964,2879226,1
642,3821373,2815238,3830614,2927660,1
643,3781556,2839097,3812067,2884739,1
644,3820860,2924462,3718628,2894882,1
645,3838980,2923642,3782767,2950026,1
646,3800473,2930146,3707022,2935660,1
647,3713082,2957548,3761398,2955509,1
648,3838771,2947852,3773188,2968648,1
649,3736708,2828631,3787255,2983142,1
650,3811470,2936427,3808490,2846775,1
651,3774025,2918144,3797918,2927932,1
652,3712894,2822193,3858330,2877117,1
653,3679736,2861466,3797581,2830460,1
654,3770139,2914241,3711531,2835972,1
655,3708278,2868915,3845028,2888967,1
656,3704100,2818170,3852466,2907622,1
657,3739061,2974731,3669291,2893499,1
658,3743095,2882090,3685460,2897105,1
659,3772789,2925324,3753436,2890245,1
660,3735949,2905511,3725259,2908222,1
661,3779013,2842837,3798453,2978887,1
662,3832898,2877423,3678359,2914490,1
663,3702258,2893046,3699197,2864583,1
664,3707087,2867292,3807293,2945254,1
665,3688458,2875526,3734125,2965720,1
666,3844186,2920336,3843792,2896336,1
667,3771302,2948315,3749123,2888424,1
668,3726323,2855112,3739458,2818210,1
669,3773534,2865557,3834226,2835788,1
670,3699543,2846703,3815718,2885990,1
671,3731424,2817406,3755013,2918418,1
672,3800241,2884499,3774910,2900317,1
673,3792001,2918193,3781933,2817298,1
674,3736649,2984904,3773336,2889627,1
675,3739999,2913576,3707547,2852558,1
676,3790542,2900774,3801201,2932778,1
677,3766153,2956003,3756005,2802290,1
678,3789172,2852304,3769602,2864307,1
679,3803007,2924940,3751850,2980115,1
680,3799327,2902936,3824632,2914984,1
681,3673486,2931643,3721920,2818092,1
682,3704623,2910707,3668541,2897829,1
683,3747641,2843506,3780330,2821043,1
684,3760799,2851396,3741967,2900600,1
685,3834940,2930438,3763610,2846959,1
686,3702294,2852043,3741894,2846177,1
687,3684305,2948941,3741122,2920021,1
688,3700393,2866976,3785942,2862174,1
689,3746436,2913968,3696076,2940898,1
690,3767869,2958523,3685161,2876939,1
691,3843213,2906297,3768573,2978912,1
692,3785961,2971950,3769983,2836955,1
693,3752098,2908073,3698719,2924543,1
694,3764146,2898314,3778756,2880409,1
695,3819672,2840688,3798029,2858148,1
696,3802744,2837014,3806772,2881171,1
